id;fio;number_phone;summa;check;data
1;Александр Сергеевич Зейферт;81234567897;3333;965335;2021-11-02 17:04:18.202958
2;Александр Сергеевич Зейферт;81234567897;845;998886;2021-11-02 17:08:20.742534
3;Зейферт;89871988241;1111;869713;2021-11-02 22:17:30.774748
4;Зейферт;89871988241;1111;475962;2021-11-02 22:40:15.051536
5;Зейферт;89871988241;2.2;586267;2021-11-02 23:16:09.812679
6;Зейферт;89871988241;121;891426;2021-11-02 23:16:58.399562
7;Зейферт;89871988241;121;255813;2021-11-02 23:17:06.402546
8;Зейферт;89871988241;2.2;611215;2021-11-02 23:19:10.010481
9;Зейферт;89871988241;123.2;435553;2021-11-02 23:19:18.576534
10;Зейферт;89871988241;190;479493;2021-11-02 23:19:25.128527
11;Зейферт;89871988241;696;251165;2021-11-02 23:19:37.602795
12;Зейферт;89871988241;1111;421951;2021-11-02 23:20:00.308833
